Connecting to host server, port 5201
[  5] local 10.1.3.2 port 58844 connected to 10.1.9.2 port 5201
[  5] 114.00-115.00 sec  1.18 MBytes  9.90 Mbits/sec    0   89.1 KBytes       
[  5] 115.00-116.00 sec  1.62 MBytes  13.6 Mbits/sec   33   76.4 KBytes       
[  5] 116.00-117.00 sec  2.24 MBytes  18.8 Mbits/sec    0   96.2 KBytes       
[  5] 117.00-118.00 sec  2.73 MBytes  22.9 Mbits/sec    0    116 KBytes       
[  5] 118.00-119.00 sec  3.23 MBytes  27.1 Mbits/sec    0    137 KBytes       
[  5] 119.00-120.00 sec  3.73 MBytes  31.3 Mbits/sec    0    156 KBytes       
[  5] 120.00-121.00 sec  4.23 MBytes  35.5 Mbits/sec    0    175 KBytes       
[  5] 121.00-122.00 sec  4.78 MBytes  40.1 Mbits/sec    0    195 KBytes       
[  5] 122.00-123.00 sec  5.28 MBytes  44.3 Mbits/sec    0    215 KBytes       
[  5] 123.00-124.00 sec  5.65 MBytes  47.4 Mbits/sec    0    235 KBytes       
[  5] 124.00-125.00 sec  5.59 MBytes  46.9 Mbits/sec    0    256 KBytes       
[  5] 125.00-126.00 sec  5.53 MBytes  46.4 Mbits/sec    0    345 KBytes       
[  5] 126.00-127.00 sec  5.47 MBytes  45.9 Mbits/sec    0    460 KBytes       
[  5] 127.00-128.00 sec  5.53 MBytes  46.4 Mbits/sec    0    604 KBytes       
[  5] 128.00-129.00 sec  5.47 MBytes  45.9 Mbits/sec    0    778 KBytes       
[  5] 129.00-130.00 sec  5.53 MBytes  46.4 Mbits/sec    0    987 KBytes       
[  5] 130.00-131.00 sec  5.34 MBytes  44.8 Mbits/sec    0   1.20 MBytes       
[  5] 131.00-132.00 sec  5.34 MBytes  44.8 Mbits/sec    0   1.47 MBytes       
[  5] 132.00-133.00 sec  5.53 MBytes  46.4 Mbits/sec    0   1.79 MBytes       
[  5] 133.00-134.00 sec  5.28 MBytes  44.3 Mbits/sec    0   2.14 MBytes       
[  5] 134.00-135.00 sec  5.20 MBytes  43.6 Mbits/sec    0   2.54 MBytes       
[  5] 135.00-136.00 sec  5.41 MBytes  45.4 Mbits/sec    0   2.98 MBytes       
[  5] 136.00-137.00 sec  6.01 MBytes  50.4 Mbits/sec    0   3.00 MBytes       
[  5] 137.00-138.00 sec  5.65 MBytes  47.4 Mbits/sec   29   2.17 MBytes       
[  5] 138.00-139.00 sec  5.20 MBytes  43.6 Mbits/sec    0   2.34 MBytes       
[  5] 139.00-140.00 sec  5.70 MBytes  47.8 Mbits/sec    0   2.51 MBytes       
[  5] 140.00-141.00 sec  5.52 MBytes  46.3 Mbits/sec    0   2.65 MBytes       
[  5] 141.00-142.00 sec  5.77 MBytes  48.4 Mbits/sec    0   2.76 MBytes       
[  5] 142.00-143.00 sec  5.61 MBytes  47.0 Mbits/sec    0   2.84 MBytes       
[  5] 143.00-144.00 sec  5.46 MBytes  45.8 Mbits/sec    0   2.90 MBytes       
[  5] 144.00-145.00 sec  5.64 MBytes  47.3 Mbits/sec    0   2.95 MBytes       
[  5] 145.00-146.00 sec  5.46 MBytes  45.8 Mbits/sec    0   2.97 MBytes       
[  5] 146.00-147.00 sec  5.64 MBytes  47.3 Mbits/sec    0   2.99 MBytes       
[  5] 147.00-148.00 sec  5.39 MBytes  45.2 Mbits/sec    0   3.00 MBytes       
[  5] 148.00-149.00 sec  5.95 MBytes  49.9 Mbits/sec    0   3.00 MBytes       
[  5] 149.00-150.00 sec  5.27 MBytes  44.2 Mbits/sec    0   3.00 MBytes       
[  5] 150.00-151.00 sec  5.70 MBytes  47.8 Mbits/sec    0   3.00 MBytes       
[  5] 151.00-152.00 sec  5.33 MBytes  44.7 Mbits/sec    0   3.00 MBytes       
[  5] 152.00-153.00 sec  4.56 MBytes  38.2 Mbits/sec   11   1.37 MBytes       
[  5] 153.00-154.00 sec  7.20 MBytes  60.4 Mbits/sec    0   2.19 MBytes       
[  5] 154.00-155.00 sec  5.00 MBytes  41.9 Mbits/sec    0   2.29 MBytes       
[  5] 155.00-156.00 sec  5.88 MBytes  49.4 Mbits/sec    0   2.38 MBytes       
[  5] 156.00-157.00 sec  5.57 MBytes  46.8 Mbits/sec    0   2.44 MBytes       
[  5] 157.00-158.00 sec  5.33 MBytes  44.7 Mbits/sec    0   2.49 MBytes       
[  5] 158.00-159.00 sec  5.64 MBytes  47.3 Mbits/sec    0   2.52 MBytes       
[  5] 159.00-160.00 sec  5.87 MBytes  49.3 Mbits/sec    0   2.54 MBytes       
[  5] 160.00-161.00 sec  5.51 MBytes  46.2 Mbits/sec    0   2.55 MBytes       
[  5] 161.00-162.00 sec  5.51 MBytes  46.2 Mbits/sec    0   2.55 MBytes       
